term,cleaned_pinyin,updated_pinyin,status
怕羞,pàxiū,pà xiū,success
迷漫,mímàn,mí màn,success
响器,xiǎngqì,xiǎng qì,success
防化兵,fánghuàbīng,fáng huà bīng,success
死党,sǐdǎng,sǐ dǎng,success
历书,lìshū,lì shū,success
造字,zàozì,zào zì,success
密实,mìshi,mì shi,success
残月,cányuè,cán yuè,success
指印,zhǐyìn,zhǐ yìn,success
运动衫,yùndòngshān,yùn dòng shān,success
脑死亡,nǎosǐwáng,nǎo sǐ wáng,success
债款,zhàikuǎn,zhài kuǎn,success
天狼星,tiānlángxīng,tiān láng xīng,success
超低空,chāodīkōng,chāo dī kōng,success
绕口令,ràokǒulìng,rào kǒu lìng,success
水淋淋,shuǐlínlín,shuǐ lín lín,success
蜂窝煤,fēngwōméi,fēng wō méi,success
抵不上,dǐbushàng,dǐ bu shàng,success
挂心,guàxīn,guà xīn,success
窄幅,zhǎifú,zhǎi fú,success
河槽,hécáo,hé cáo,success
熔融,róngróng,róng róng,success
恭迎,gōngyíng,gōng yíng,success
争上游,zhēngshàngyóu,zhēng shàng yóu,success
凌迟,língchí,líng chí,success
简编,jiǎnbiān,jiǎn biān,success
装配线,zhuāngpèixiàn,zhuāng pèi xiàn,success
云气,yúnqì,yún qì,success
推让,tuīràng,tuī ràng,success
天梯,tiāntī,tiān tī,success
兵临城下,bīnglín chéngxià,bīng lín chéng xià,success
套数,tàoshù,tào shù,success
小舅子,xiǎojiùzi,xiǎo jiù zi,success
黩武,dúwǔ,dú wǔ,success
斗车,dǒuchē,dǒu chē,success
华年,huánián,huá nián,success
绝育,juéyù,jué yù,success
忠勇,zhōngyǒng,zhōng yǒng,success
消食,xiāoshí,xiāo shí,success
水绿,shuǐlǜ,shuǐ lǜ,success
颌骨,hégǔ,hé gǔ,success
电子表,diànzǐbiǎo,diàn zǐ biǎo,success
简体字,jiǎntǐzì,jiǎn tǐ zì,success
火暴,huǒbào,huǒ bào,success
独轮车,dúlúnchē,dú lún chē,success
魂不附体,húnbùfùtǐ,hún bù fù tǐ,success
壁虎,bìhǔ,bì hǔ,success
抛洒,pāosǎ,pāo sǎ,success
立夏,lìxià,lì xià,success
信息战,xìnxīzhàn,xìn xī zhàn,success
延绵,yánmián,yán mián,success
调干,diàogàn,diào gàn,success
余韵,yúyùn,yú yùn,success
斩获,zhǎnhuò,zhǎn huò,success
伪作,wěizuò,wěi zuò,success
便血,biànxiě,biàn xiě,success
番薯,fānshǔ,fān shǔ,success
顶子,dǐngzi,dǐng zi,success
胆大包天,dǎndà bāotiān,dǎn dà bāo tiān,success
气象万千,qìxiàng wànqiān,qì xiàng wàn qiān,success
沾光,zhānguāng,zhān guāng,success
自食其果,zìshíqíguǒ,zì shí qí guǒ,success
像模像样,xiàngmú xiàngyàng,xiàng mú xiàng yàng,success
生词,shēngcí,shēng cí,success
植皮,zhípí,zhí pí,success
挑拨离间,tiǎobō líjiàn,tiǎo bō lí jiàn,success
小班,xiǎobān,xiǎo bān,success
单口相声,dānkǒu xiàngsheng,dān kǒu xiàng sheng,success
起吊,qǐdiào,qǐ diào,success
胆气,dǎnqì,dǎn qì,success
保温瓶,bǎowēnpíng,bǎo wēn píng,success
抢渡,qiǎngdù,qiǎng dù,success
亢进,kàngjìn,kàng jìn,success
油层,yóucéng,yóu céng,success
双人床,shuāngrénchuáng,shuāng rén chuáng,success
钢水,gāngshuǐ,gāng shuǐ,success
奋争,fènzhēng,fèn zhēng,success
素称,sùchēng,sù chēng,success
以诚相待,yǐchéng xiāngdài,yǐ chéng xiāng dài,success
窗花,chuānghuā,chuāng huā,success
横遭,hèngzāo,hèng zāo,success
假条,jiàtiáo,jià tiáo,success
压路机,yālùjī,yā lù jī,success
低血糖,dīxuètáng,dī xuè táng,success
河心,héxīn,hé xīn,success
龙门阵,lóngménzhèn,lóng mén zhèn,success
宗主国,zōngzhǔguó,zōng zhǔ guó,success
架子车,jiàzichē,jià zi chē,success
安乐窝,ānlèwō,ān lè wō,success
破相,pòxiàng,pò xiàng,success
赤心,chìxīn,chì xīn,success
洲际导弹,zhōujì dǎodàn,zhōu jì dǎo dàn,success
频段,pínduàn,pín duàn,success
呈递,chéngdì,chéng dì,success
号数,hàoshù,hào shù,success
瞒天过海,mántiān guòhǎi,mán tiān guò hǎi,success
败亡,bàiwáng,bài wáng,success
个头儿,gètóur,gè tóu er,success
膏肓,gāohuāng,gāo huāng,success
原始林,yuánshǐlín,yuán shǐ lín,success
发愿,fāyuàn,fā yuàn,success
避嫌,bìxián,bì xián,success
愚钝,yúdùn,yú dùn,success
举火,jǔhuǒ,jǔ huǒ,success
变调,biàndiào,biàn diào,success
胡编乱造,húbiān luànzào,hú biān luàn zào,success
思古,sīgǔ,sī gǔ,success
大实话,dàshíhuà,dà shí huà,success
丑剧,chǒujù,chǒu jù,success
扎针,zhāzhēn,zhā zhēn,success
腰子,yāozi,yāo zi,success
尾数,wěishù,wěi shù,success
挂账,guàzhàng,guà zhàng,success
木樨,mùxi,mù xi,success
不拘小节,bùjū xiǎojié,bù jū xiǎo jié,success
口译,kǒuyì,kǒu yì,success
灿然,cànrán,càn rán,success
兵戎,bīngróng,bīng róng,success
投考,tóukǎo,tóu kǎo,success
拆穿,chāichuān,chāi chuān,success
肥田,féitián,féi tián,success
电耗,diànhào,diàn hào,success
高妙,gāomiào,gāo miào,success
金榜题名,jīnbǎng tímíng,jīn bǎng tí míng,success
杀价,shājià,shā jià,success
特行,tèháng,tè háng,success
异人,yìrén,yì rén,success
灾年,zāinián,zāi nián,success
运动健将,yùndòng jiànjiàng,yùn dòng jiàn jiàng,success
洋流,yángliú,yáng liú,success
贬抑,biǎnyì,biǎn yì,success
盥洗室,guànxǐshì,guàn xǐ shì,success
娇妻,jiāoqī,jiāo qī,success
等次,děngcì,děng cì,success
混淆视听,hùnxiáo shìtīng,hùn xiáo shì tīng,success
动嘴,dòngzuǐ,dòng zuǐ,success
待建,dàijiàn,dài jiàn,success
放血,fàngxiě,fàng xiě,success
凉粉,liángfěn,liáng fěn,success
守株待兔,shǒuzhū dàitù,shǒu zhū dài tù,success
绑票,bǎngpiào,bǎng piào,success
搬用,bānyòng,bān yòng,success
卸载,xièzài,xiè zài,success
卸载,xièzǎi,xiè zǎi,success
求贤若渴,qiúxián ruòkě,qiú xián ruò kě,success
脾脏,pízàng,pí zàng,success
猴头,hóutóu,hóu tóu,success
探头探脑,tàntóu tànnǎo,tàn tóu tàn nǎo,success
主唱,zhǔchàng,zhǔ chàng,success
松土,sōngtǔ,sōng tǔ,success
含恨,hánhèn,hán hèn,success
棒槌,bàngchui,bàng chui,success
战祸,zhànhuò,zhàn huò,success
厂纪,chǎngjì,chǎng jì,success
凌汛,língxùn,líng xùn,success
英魂,yīnghún,yīng hún,success
转赠,zhuǎnzèng,zhuǎn zèng,success
万物之灵,wànwùzhīlíng,wàn wù zhī líng,success
数说,shǔshuō,shǔ shuō,success
宁死不屈,nìngsǐ bùqū,nìng sǐ bù qū,success
底舱,dǐcāng,dǐ cāng,success
老相识,lǎoxiāngshí,lǎo xiāng shí,success
霜期,shuāngqī,shuāng qī,success
丛莽,cóngmǎng,cóng mǎng,success
围网,wéiwǎng,wéi wǎng,success
还口,huánkǒu,huán kǒu,success
小巫见大巫,xiǎowū jiàn dàwū,xiǎo wū jiàn dà wū,success
领唱,lǐngchàng,lǐng chàng,success
校准,jiàozhǔn,jiào zhǔn,success
回文,huíwén,huí wén,success
圆弧,yuánhú,yuán hú,success
留居,liújū,liú jū,success
太空舱,tàikōngcāng,tài kōng cāng,success
盟员,méngyuán,méng yuán,success
亭子间,tíngzijiān,tíng zi jiān,success
征候,zhēnghòu,zhēng hòu,success
佛殿,fódiàn,fó diàn,success
净菜,jìngcài,jìng cài,success
受领,shòulǐng,shòu lǐng,success
样片,yàngpiàn,yàng piàn,success
判罪,pànzuì,pàn zuì,success
板铺,bǎnpù,bǎn pù,success
传抄,chuánchāo,chuán chāo,success
撤资,chèzī,chè zī,success
密不透风,mìbùtòufēng,mì bù tòu fēng,success
镶边,xiāngbiān,xiāng biān,success
遗事,yíshì,yí shì,success
昏黑,hūnhēi,hūn hēi,success
揣度,chuǎiduó,chuǎi duó,success
泄愤,xièfèn,xiè fèn,success
扩编,kuòbiān,kuò biān,success
炒面,chǎomiàn,chǎo miàn,success
组画,zǔhuà,zǔ huà,success
水烟袋,shuǐyāndài,shuǐ yān dài,success
油饼,yóubǐng,yóu bǐng,success
封套,fēngtào,fēng tào,success
逼上梁山,bīshàng liángshān,bī shàng liáng shān,success
插播,chābō,chā bō,success
百依百顺,bǎiyī bǎishùn,bǎi yī bǎi shùn,success
婆母,pómǔ,pó mǔ,success
投水,tóushuǐ,tóu shuǐ,success
词法,cífǎ,cí fǎ,success
黄澄澄,huángdèngdèng,huáng dèng dèng,success
当胸,dāngxiōng,dāng xiōng,success
雅观,yǎguān,yǎ guān,success
认亲,rènqīn,rèn qīn,success
孔隙,kǒngxì,kǒng xì,success
大率,dàshuài,dà shuài,success
贤淑,xiánshū,xián shū,success
欠条,qiàntiáo,qiàn tiáo,success
钢针,gāngzhēn,gāng zhēn,success
铁心,tiěxīn,tiě xīn,success
压服,yāfú,yā fú,success
玻璃纤维,bōli xiānwéi,bō li xiān wéi,success
报童,bàotóng,bào tóng,success
校官,xiàoguān,xiào guān,success
性虐待,xìngnüèdài,xìng nüè dài,success
漆黑一团,qīhēi yītuán,qī hēi yī tuán,success
闭经,bìjīng,bì jīng,success
颓败,tuíbài,tuí bài,success
脏活儿,zānghuór,zāng huó er,success
怕生,pàshēng,pà shēng,success
汗液,hànyè,hàn yè,success
天棚,tiānpéng,tiān péng,success
旁敲侧击,pángqiāo cèjī,páng qiāo cè jī,success
知命,zhīmìng,zhī mìng,success
饵料,ěrliào,ěr liào,success
绿野,lǜyě,lǜ yě,success
钢梁,gāngliáng,gāng liáng,success
祸水,huòshuǐ,huò shuǐ,success
残本,cánběn,cán běn,success
外心,wàixīn,wài xīn,success
没治,méizhì,méi zhì,success
彗核,huìhé,huì hé,success
失语,shīyǔ,shī yǔ,success
平叛,píngpàn,píng pàn,success
查究,chájiū,chá jiū,success
苦相,kǔxiàng,kǔ xiàng,success
磁极,cíjí,cí jí,success
芦根,lúgēn,lú gēn,success
亲政,qīnzhèng,qīn zhèng,success
欢娱,huānyú,huān yú,success
奶糖,nǎitáng,nǎi táng,success
蠢话,chǔnhuà,chǔn huà,success
状子,zhuàngzi,zhuàng zi,success
水冷,shuǐlěng,shuǐ lěng,success
拿捏,nániē,ná niē,success
静物,jìngwù,jìng wù,success
声控,shēngkòng,shēng kòng,success
肇始,zhàoshǐ,zhào shǐ,success
卫护,wèihù,wèi hù,success
公判,gōngpàn,gōng pàn,success
鼎鼎大名,dǐngdǐng dàmíng,dǐng dǐng dà míng,success
大名鼎鼎,dǐngdǐng dàmíng,dǐng dǐng dà míng,success
答非所问,dáfēisuǒwèn,dá fēi suǒ wèn,success
核素,hésù,hé sù,success
刷洗,shuāxǐ,shuā xǐ,success
陶文,táowén,táo wén,success
临刑,línxíng,lín xíng,success
弹壳,dànké,dàn ké,success
报德,bàodé,bào dé,success
投河,tóuhé,tóu hé,success
明灭,míngmiè,míng miè,success
细菜,xìcài,xì cài,success
巡察,xúnchá,xún chá,success
尤物,yóuwù,yóu wù,success
虎头蛇尾,hǔtóu shéwěi,hǔ tóu shé wěi,success
生不逢时,shēngbùféngshí,shēng bù féng shí,success
头昏眼花,tóuhūn yǎnhuā,tóu hūn yǎn huā,success
有两下子,yǒuliǎngxiàzi,yǒu liǎng xià zi,success
惊弓之鸟,jīnggōngzhīniǎo,jīng gōng zhī niǎo,success
学前班,xuéqiánbān,xué qián bān,success
贪生怕死,tānshēng pàsǐ,tān shēng pà sǐ,success
无师自通,wúshī zìtōng,wú shī zì tōng,success
吃喝风,chīhēfēng,chī hē fēng,success
离乡背井,líxiāng bèijǐng,lí xiāng bèi jǐng,success
大半夜,dàbànyè,dà bàn yè,success
脂肪肝,zhīfánggān,zhī fáng gān,success
夜郎自大,yèláng zìdà,yè láng zì dà,success
横断面,héngduànmiàn,héng duàn miàn,success
视神经,shìshénjīng,shì shén jīng,success
背靠背,bèikàobèi,bèi kào bèi,success
搔头,sāotóu,sāo tóu,success
触网,chùwǎng,chù wǎng,success
喷水池,pēnshuǐchí,pēn shuǐ chí,success
登极,dēngjí,dēng jí,success
病休,bìngxiū,bìng xiū,success
梵语,fànyǔ,fàn yǔ,success
棱镜,léngjìng,léng jìng,success
倒腾,dǎoteng,dǎo teng,success
荫蔽,yìnbì,yìn bì,success
储金,chǔjīn,chǔ jīn,success
要图,yàotú,yào tú,success
扒皮,bāpí,bā pí,success
饭局,fànjú,fàn jú,success
笔架,bǐjià,bǐ jià,success
遗训,yíxùn,yí xùn,success
马棚,mǎpéng,mǎ péng,success
略知一二,lüèzhī yī èr,lüè zhī yī èr,success
鬼火,guǐhuǒ,guǐ huǒ,success
勘验,kānyàn,kān yàn,success
惨然,cǎnrán,cǎn rán,success
钟鼓楼,zhōnggǔlóu,zhōng gǔ lóu,success
面砖,miànzhuān,miàn zhuān,success
尊容,zūnróng,zūn róng,success
同岁,tóngsuì,tóng suì,success
河豚,hétún,hé tún,success
转轴,zhuànzhóu,zhuàn zhóu,success
双生,shuāngshēng,shuāng shēng,success
腰斩,yāozhǎn,yāo zhǎn,success
点射,diǎnshè,diǎn shè,success
相沿,xiāngyán,xiāng yán,success
兰草,láncǎo,lán cǎo,success
看押,kānyā,kān yā,success
虾子,xiāzǐ,xiā zǐ,success
悲天悯人,bēitiān mǐnrén,bēi tiān mǐn rén,success
按图索骥,àntú suǒjì,àn tú suǒ jì,success
高倍,gāobèi,gāo bèi,success
大步流星,dàbù liúxīng,dà bù liú xīng,success
越俎代庖,yuèzǔ dàipáo,yuè zǔ dài páo,success
低平,dīpíng,dī píng,success
金器,jīnqì,jīn qì,success
富婆,fùpó,fù pó,success
海货,hǎihuò,hǎi huò,success
管窥,guǎnkuī,guǎn kuī,success
蓑衣,suōyī,suō yī,success
沟坎,gōukǎn,gōu kǎn,success
拍案叫绝,pāi àn jiàojué,pāi àn jiào jué,success
瘢痕,bānhén,bān hén,success
忌日,jìrì,jì rì,success
凄惶,qīhuáng,qī huáng,success
弦乐器,xiányuèqì,xián yuè qì,success
画蛇添足,huàshé tiānzú,huà shé tiān zú,success
坐月子,zuòyuèzi,zuò yuè zi,success
韬略,tāolüè,tāo lüè,success
操演,cāoyǎn,cāo yǎn,success
成文法,chéngwénfǎ,chéng wén fǎ,success
婚配,hūnpèi,hūn pèi,success
貌不惊人,màobùjīngrén,mào bù jīng rén,success
激将,jījiàng,jī jiàng,success
前襟,qiánjīn,qián jīn,success
出操,chūcāo,chū cāo,success
滑稽戏,huájīxì,huá jī xì,success
磨制,mózhì,mó zhì,success
纠错,jiūcuò,jiū cuò,success
斜度,xiédù,xié dù,success
腾云驾雾,téngyún jiàwù,téng yún jià wù,success
命笔,mìngbǐ,mìng bǐ,success
男尊女卑,nánzūn nǚbēi,nán zūn nǚ bēi,success
毁约,huǐyuē,huǐ yuē,success
于心不忍,yúxīn bùrěn,yú xīn bù rěn,success
期房,qīfáng,qī fáng,success
丢面子,diūmiànzi,diū miàn zi,success
法衣,fǎyī,fǎ yī,success
后发制人,hòufā zhìrén,hòu fā zhì rén,success
点头哈腰,diǎntóu hāyāo,diǎn tóu hā yāo,success
暖融融,nuǎnróngróng,nuǎn róng róng,success
虚怀若谷,xūhuái ruògǔ,xū huái ruò gǔ,success
讲评,jiǎngpíng,jiǎng píng,success
右首,yòushǒu,yòu shǒu,success
选点,xuǎndiǎn,xuǎn diǎn,success
终老,zhōnglǎo,zhōng lǎo,success
臂章,bìzhāng,bì zhāng,success
痨病,láobìng,láo bìng,success
蛰居,zhéjū,zhé jū,success
听会,tīnghuì,tīng huì,success
猪瘟,zhūwēn,zhū wēn,success
肉铺,ròupù,ròu pù,success
旧学,jiùxué,jiù xué,success
短剧,duǎnjù,duǎn jù,success
得闲,déxián,dé xián,success
发令枪,fālìngqiāng,fā lìng qiāng,success
杳无音信,yǎowúyīnxìn,yǎo wú yīn xìn,success
环子,huánzi,huán zi,success
怀才不遇,huáicái bùyù,huái cái bù yù,success
血渍,xuèzì,xuè zì,success
跑龙套,pǎolóngtào,pǎo lóng tào,success
会操,huìcāo,huì cāo,success
军事管制,jūnshì guǎnzhì,jūn shì guǎn zhì,success
暗合,ànhé,àn hé,success
手艺人,shǒuyìrén,shǒu yì rén,success
小报告,xiǎobàogào,xiǎo bào gào,success
单元房,dānyuánfáng,dān yuán fáng,success
大排档,dàpáidàng,dà pái dàng,success
行政拘留,xíngzhèng jūliú,xíng zhèng jū liú,success
中继线,zhōngjìxiàn,zhōng jì xiàn,success
例举,lìjǔ,lì jǔ,success
金牙,jīnyá,jīn yá,success
谁个,shéigè,shéi gè,success
戒严令,jièyánlìng,jiè yán lìng,success
类人猿,lèirényuán,lèi rén yuán,success
银鱼,yínyú,yín yú,success
拘礼,jūlǐ,jū lǐ,success
劫后余生,jiéhòu yúshēng,jié hòu yú shēng,success
补报,bǔbào,bǔ bào,success
乞食,qǐshí,qǐ shí,success
遗落,yíluò,yí luò,success
中间派,zhōngjiānpài,zhōng jiān pài,success
一径,yījìng,yī jìng,success
碗柜,wǎnguì,wǎn guì,success
大杂烩,dàzáhuì,dà zá huì,success
敷衍塞责,fūyǎn sèzé,fū yǎn sè zé,success
高压锅,gāoyāguō,gāo yā guō,success
无机物,wújīwù,wú jī wù,success
玫瑰红,méiguihóng,méi gui hóng,success
碾子,niǎnzi,niǎn zi,success
手卷,shǒujuàn,shǒu juàn,success
手鼓,shǒugǔ,shǒu gǔ,success
小引,xiǎoyǐn,xiǎo yǐn,success
断粮,duànliáng,duàn liáng,success
锄草,chúcǎo,chú cǎo,success
民夫,mínfū,mín fū,success
寸心,cùnxīn,cùn xīn,success
宠信,chǒngxìn,chǒng xìn,success
做针线,zuòzhēnxiàn,zuò zhēn xiàn,success
阔佬,kuòlǎo,kuò lǎo,success
脚气,jiǎoqì,jiǎo qì,success
男工,nángōng,nán gōng,success
希图,xītú,xī tú,success
君权,jūnquán,jūn quán,success
嫁祸,jiàhuò,jià huò,success
涂脂抹粉,túzhī mǒfěn,tú zhī mǒ fěn,success
浓妆艳抹,nóngzhuāng yànmǒ,nóng zhuāng yàn mǒ,success
冰期,bīngqī,bīng qī,success
喟叹,kuìtàn,kuì tàn,success
遣词,qiǎncí,qiǎn cí,success
劳损,láosǔn,láo sǔn,success
编订,biāndìng,biān dìng,success
冰峰,bīngfēng,bīng fēng,success
寓居,yùjū,yù jū,success
习见,xíjiàn,xí jiàn,success
原盐,yuányán,yuán yán,success
心直口快,xīnzhí kǒukuài,xīn zhí kǒu kuài,success
句读,jùdòu,jù dòu,success
寒士,hánshì,hán shì,success
奢求,shēqiú,shē qiú,success
大氅,dàchǎng,dà chǎng,success
亚健康,yàjiànkāng,yà jiàn kāng,success
滚筒,gǔntǒng,gǔn tǒng,success
腊八,làbā,là bā,success
皮筏,pífá,pí fá,success
户型,hùxíng,hù xíng,success
鞋面,xiémiàn,xié miàn,success
虚浮,xūfú,xū fú,success
黄书,huángshū,huáng shū,success
岗地,gǎngdì,gǎng dì,success
题旨,tízhǐ,tí zhǐ,success
烈马,lièmǎ,liè mǎ,success
马帮,mǎbāng,mǎ bāng,success
祈盼,qípàn,qí pàn,success
插口,chākǒu,chā kǒu,success
猪舍,zhūshè,zhū shè,success
孔径,kǒngjìng,kǒng jìng,success
义子,yìzǐ,yì zǐ,success
鱼粉,yúfěn,yú fěn,success
辐射源,fúshèyuán,fú shè yuán,success
抓拍,zhuāpāi,zhuā pāi,success
引流,yǐnliú,yǐn liú,success
开锣,kāiluó,kāi luó,success
鼎新,dǐngxīn,dǐng xīn,success
软饮料,ruǎnyǐnliào,ruǎn yǐn liào,success
压轴戏,yāzhòuxì,yā zhòu xì,success
故友,gùyǒu,gù yǒu,success
壮劳力,zhuàngláolì,zhuàng láo lì,success
打问,dǎwèn,dǎ wèn,success
对折,duìzhé,duì zhé,success
普度,pǔdù,pǔ dù,success
套印,tàoyìn,tào yìn,success
豁口,huōkǒu,huō kǒu,success
十恶不赦,shí è bùshè,shí è bù shè,success
妖魔鬼怪,yāomó guǐguài,yāo mó guǐ guài,success
喜新厌旧,xǐxīn yànjiù,xǐ xīn yàn jiù,success
公而忘私,gōng érwàngsī,gōng ér wàng sī,success
能言善辩,néngyán shànbiàn,néng yán shàn biàn,success
宠幸,chǒngxìng,chǒng xìng,success
逐次,zhúcì,zhú cì,success
嘟噜,dūlu,dū lu,success
人妖,rényāo,rén yāo,success
集体婚礼,jítǐ hūnlǐ,jí tǐ hūn lǐ,success
抗暴,kàngbào,kàng bào,success
板书,bǎnshū,bǎn shū,success
回见,huíjiàn,huí jiàn,success
京白,jīngbái,jīng bái,success
疏解,shūjiě,shū jiě,success
酱园,jiàngyuán,jiàng yuán,success
尖头,jiāntóu,jiān tóu,success
躬行,gōngxíng,gōng xíng,success
毒虫,dúchóng,dú chóng,success
有色人种,yǒusè rénzhǒng,yǒu sè rén zhǒng,success
骂名,màmíng,mà míng,success
斜面,xiémiàn,xié miàn,success
积肥,jīféi,jī féi,success
朽木,xiǔmù,xiǔ mù,success
房费,fángfèi,fáng fèi,success
经线,jīngxiàn,jīng xiàn,success
热卖,rèmài,rè mài,success
记仇,jìchóu,jì chóu,success
娴静,xiánjìng,xián jìng,success
拖曳,tuōyè,tuō yè,success
调防,diàofáng,diào fáng,success
具名,jùmíng,jù míng,success
背带,bēidài,bēi dài,success
金笔,jīnbǐ,jīn bǐ,success
硬挺,yìngtǐng,yìng tǐng,success
前奏曲,qiánzòuqǔ,qián zòu qǔ,success
电码,diànmǎ,diàn mǎ,success
脚面,jiǎomiàn,jiǎo miàn,success
缸子,gāngzi,gāng zi,success
绣花鞋,xiùhuāxié,xiù huā xié,success
纹样,wényàng,wén yàng,success
征调,zhēngdiào,zhēng diào,success
高纬度,gāowěidù,gāo wěi dù,success
钢琴曲,gāngqínqǔ,gāng qín qǔ,success
查寻,cháxún,chá xún,success
监守,jiānshǒu,jiān shǒu,success
轻机枪,qīngjīqiāng,qīng jī qiāng,success
小件,xiǎojiàn,xiǎo jiàn,success
醋意,cùyì,cù yì,success
洋火,yánghuǒ,yáng huǒ,success
植树节,zhíshùjié,zhí shù jié,success
低频,dīpín,dī pín,success
叨唠,dāolao,dāo lao,success
牛栏,niúlán,niú lán,success
龙飞凤舞,lóngfēi fèngwǔ,lóng fēi fèng wǔ,success
军籍,jūnjí,jūn jí,success
热源,rèyuán,rè yuán,success
罗曼史,luómànshǐ,luó màn shǐ,success
词根,cígēn,cí gēn,success
魂牵梦萦,húnqiān mèngyíng,hún qiān mèng yíng,success
娇柔,jiāoróu,jiāo róu,success
寻短见,xúnduǎnjiàn,xún duǎn jiàn,success
音域,yīnyù,yīn yù,success
暗语,ànyǔ,àn yǔ,success
大尉,dàwèi,dà wèi,success
三副,sānfù,sān fù,success
着忙,zháománg,zháo máng,success
反诘,fǎnjié,fǎn jié,success
毡房,zhānfáng,zhān fáng,success
光润,guāngrùn,guāng rùn,success
河坝,hébà,hé bà,success
耐看,nàikàn,nài kàn,success
比兴,bǐxìng,bǐ xìng,success
和悦,héyuè,hé yuè,success
疾走,jízǒu,jí zǒu,success
坐享其成,zuòxiǎngqíchéng,zuò xiǎng qí chéng,success
揪斗,jiūdòu,jiū dòu,success
冤大头,yuāndàtóu,yuān dà tóu,success
油松,yóusōng,yóu sōng,success
学贯中西,xuéguànzhōngxī,xué guàn zhōng xī,success
果脯,guǒfǔ,guǒ fǔ,success
吻别,wěnbié,wěn bié,success
手淫,shǒuyín,shǒu yín,success
挞伐,tàfá,tà fá,success
松快,sōngkuai,sōng kuai,success
轻骑兵,qīngqíbīng,qīng qí bīng,success
收押,shōuyā,shōu yā,success
烙铁,làotie,lào tie,success
好脸,hǎoliǎn,hǎo liǎn,success
翠微,cuìwēi,cuì wēi,success
落拓,luòtuò,luò tuò,success
触须,chùxū,chù xū,success
话务员,huàwùyuán,huà wù yuán,success
豆饼,dòubǐng,dòu bǐng,success
受潮,shòucháo,shòu cháo,success
拼图,pīntú,pīn tú,success
备品,bèipǐn,bèi pǐn,success
暗箭,ànjiàn,àn jiàn,success
自作多情,zìzuòduōqíng,zì zuò duō qíng,success
打诨,dǎhùn,dǎ hùn,success
心腹之患,xīnfùzhīhuàn,xīn fù zhī huàn,success
甄选,zhēnxuǎn,zhēn xuǎn,success
道岔,dàochà,dào chà,success
授衔,shòuxián,shòu xián,success
以退为进,yǐtuì wéijìn,yǐ tuì wéi jìn,success
糖衣炮弹,tángyī pàodàn,táng yī pào dàn,success
赏光,shǎngguāng,shǎng guāng,success
回游,huíyóu,huí yóu,success
疮疤,chuāngbā,chuāng bā,success
鹿死谁手,lùsǐ shéishǒu,lù sǐ shéi shǒu,success
鼻塞,bísè,bí sè,success
老丈人,lǎozhàngren,lǎo zhàng ren,success
醉生梦死,zuìshēng mèngsǐ,zuì shēng mèng sǐ,success
均沾,jūnzhān,jūn zhān,success
整训,zhěngxùn,zhěng xùn,success
凭栏,pínglán,píng lán,success
原粮,yuánliáng,yuán liáng,success
将计就计,jiāngjì jiùjì,jiāng jì jiù jì,success
协管,xiéguǎn,xié guǎn,success
祛痰,qūtán,qū tán,success
接站,jiēzhàn,jiē zhàn,success
逃匿,táonì,táo nì,success
酒足饭饱,jiǔzú fànbǎo,jiǔ zú fàn bǎo,success
古文献,gǔwénxiàn,gǔ wén xiàn,success
帛书,bóshū,bó shū,success
强固,qiánggù,qiáng gù,success
商圈,shāngquān,shāng quān,success
儿马,érmǎ,ér mǎ,success
剃须刀,tìxūdāo,tì xū dāo,success
天足,tiānzú,tiān zú,success
武备,wǔbèi,wǔ bèi,success
小家子气,xiǎojiāziqì,xiǎo jiā zi qì,success
寒冬腊月,hándōng làyuè,hán dōng là yuè,success
乙炔,yǐquē,yǐ quē,success
教唆犯,jiàosuōfàn,jiào suō fàn,success
笔伐,bǐfá,bǐ fá,success
饱学,bǎoxué,bǎo xué,success
四季如春,sìjì rúchūn,sì jì rú chūn,success
邮船,yóuchuán,yóu chuán,success
醉翁之意不在酒,zuìwēng zhī yì bù zài jiǔ,zuì wēng zhī yì bù zài jiǔ,success
炭化,tànhuà,tàn huà,success
赌资,dǔzī,dǔ zī,success
谈虎色变,tánhǔ sèbiàn,tán hǔ sè biàn,success
合心,héxīn,hé xīn,success
广漠,guǎngmò,guǎng mò,success
成龙配套,chénglóng pèitào,chéng lóng pèi tào,success
阿门,āmén,ā mén,success
傻话,shǎhuà,shǎ huà,success
爱面子,àimiànzi,ài miàn zi,success
唐三彩,tángsāncǎi,táng sān cǎi,success
点兵,diǎnbīng,diǎn bīng,success
铺排,pūpái,pū pái,success
敦实,dūnshi,dūn shi,success
暗娼,ànchāng,àn chāng,success
外罩,wàizhào,wài zhào,success
漏风,lòufēng,lòu fēng,success
稀松,xīsōng,xī sōng,success
漂染,piǎorǎn,piǎo rǎn,success
幻景,huànjǐng,huàn jǐng,success
托生,tuōshēng,tuō shēng,success
下存,xiàcún,xià cún,success
正面人物,zhèngmiàn rénwù,zhèng miàn rén wù,success
大儒,dàrú,dà rú,success
骑射,qíshè,qí shè,success
小五金,xiǎowǔjīn,xiǎo wǔ jīn,success
玉镯,yùzhuó,yù zhuó,success
炮战,pàozhàn,pào zhàn,success
菱角,língjiao,líng jiao,success
脱毛,tuōmáo,tuō máo,success
前爪,qiánzhǎo,qián zhǎo,success
赶早,gǎnzǎo,gǎn zǎo,success
县治,xiànzhì,xiàn zhì,success
气态,qìtài,qì tài,success
