hanzi,pinyin,pos,definition_id,origin_definition_cn,definition_cn,origin_definition_en,definition_en
戗,qiāng,形容词,532711,方向相对;逆,方向相反；逆向,towards the opposite direction,against
戗,qiāng,动词,532712,(言语)冲突,言语上的冲突,verbal clash,clash
戗,qiàng,名词,532721,斜对着墙角的屋架。,斜向支撑墙角的屋架结构,prop; roof truss obliquely opposite a corner,truss
戗,qiàng,名词,532722,支撑柱子或墙壁使免于倾倒的木头。,用于支撑柱子或墙壁的木构件,wooden support; piece of wood that supports a pillar or wall to prevent it from falling over,support
戗,qiàng,动词,532723,支撑,用物体支撑以防止倒塌,prop up; shore up; buttress,prop
战,zhàn,名词,23911,战争;战斗,武装冲突；战争,war; warfare; battle; fight; combat,war
战,zhàn,动词,23912,进行战争或战斗,参与战斗或战争,"fight, battle; engage in war",fight
战,zhàn,名词,23913,(Zhàn)姓。,姓氏,a surname,surname
战,zhàn,动词,23914,发抖,因恐惧或寒冷而发抖,shiver; tremble; shudder,tremble
战争,zhàn zhēng,名词,783511,民族与民族之间、国家与国家之间、阶级与阶级之间或政治集团与政治集团之间的武装斗争。,国家、民族或集团之间的武装冲突,"war; warfare; armed struggle waged between nations, states, classes, or political groups",war
战役,zhàn yì,名词,1014311,"为实现一定的战略目的,按照统一的作战计划,在一定的方向上和一定的时间内进行的一系列战斗的总和",为实现战略目标而进行的一系列战斗,"campaign; battle; the sum total of fights waged in a certain direction and at a certain time, under a unified fighting plan to achieve a certain strategic target",campaign
战斗,zhàn dòu,名词,1014011,"敌对双方所进行的武装冲突,是达到战争目的的主要手段。",敌对双方的武装冲突,"fight; battle; combat; military conflict between antagonistic parties, the main means to achieve the objectives of a war",battle
战斗,zhàn dòu,动词,1014012,同敌方作战,与敌方作战,fight; combat; campaign,combat
战斗,zhàn dòu,名词,1014013,泛指斗争,泛指各种形式的斗争,fight; struggle; battle; contend,struggle
战术,zhàn shù,名词,1014211,进行战斗的原则和方法。,战斗的具体方法和原则,tactic; principle and method for fighting a battle,tactics
战术,zhàn shù,名词,1014212,解决局部问题的方法。,比喻解决局部问题的方法,methods for solving local problems,method
战略,zhàn lüè,名词,1014111,指导战争全局的计划和策略。,指导战争全局的计划和策略,strategy; overall plan and tactics for a war,strategy
战略,zhàn lüè,形容词,1014112,有关战争全局的,与战争全局相关的,strategic; concerning the overall situation of a war,strategic
战略,zhàn lüè,名词,1014113,决定全局的策略,比喻决定全局的策略,strategy that concerns the overall situation,strategy
戚,qī,名词,232511,亲戚,家族或婚姻关系中的成员,relative,relative
戚,qī,名词,232512,(Qī)姓。,姓氏,a surname,surname
戚,qī,形容词,232513,忧愁;悲哀,忧愁或悲哀的情绪,grief; woe; sadness,grief
戚,qī,名词,232514,"兵器,像斧。",古代斧类兵器,axe-like weapon,axe
戛,jiá,动词,412611,轻轻地敲打,轻轻敲击,knock gently,tap
戟,jǐ,名词,410311,"古代兵器,在长柄的一端装有青铜或铁制成的枪尖,旁边附有月牙形锋刃。",古代长柄兵器，带月牙形刃,halberd; ancient weapon with a pointed bronze or iron head and a sharp crescent blade fitted on one end of a long handle,halberd
戡,kān,动词,550011,用武力平定(叛乱),用武力镇压叛乱,put down; suppress,suppress
戥,děng,动词,2010411,用戥子称东西,使用小秤称量物品,weigh with a small scale,weigh
截,jié,动词,161911,切断;割断(长条形的东西),切断长条状物体,cut (long strips); sever,cut
截,jié,动词,161913,阻拦,阻拦,stop; check; stem,stop
截,jié,动词,161914,截止,到某一时间停止,by (a specified time); up to,until
截至,jié zhì,动词,887911,截止到(某个时候),截止到某一时间点,by (a specified time); up to,by
戮,lù,动词,427111,杀,杀害,kill; slay,kill
戮,lù,动词,427112,并;合,联合或合并,join; combine; unite,unite
戳,chuō,动词,307011,用力使长条形物体的顶端向前触动或穿过另一物体,用尖物刺或捅,poke or pierce with a stick-like object,poke
戳,chuō,动词,307012,(长条形物体)因猛戳另一物体而本身受伤或损坏,因猛戳而受损,get hurt or damaged for striking into sth.,damage
戳,chuō,动词,307013,竖立;站,竖立或站立,stand sth. on end; stand,stand
戴,dài,动词,133911,把东西放在头、面、颈、胸、臂等处,把东西放在头、面、颈、胸、臂等处,"adorn; wear sth. on the head, face, neck, chest, arm, etc.",wear
戴,dài,动词,133912,拥护尊敬,拥护或尊敬,support; respect,respect
戴,dài,名词,133913,(Dài)姓。,姓氏,a surname,surname
户,hù,名词,84811,门,建筑物的出入口,door,door
户,hù,名词,84812,人家;住户,家庭或居住单位,household; family,household
户,hù,名词,84813,门第,家庭的社会地位,family status,status
户,hù,名词,84814,户头,银行或机构中的账户,(bank) account,account
户,hù,名词,84815,(Hù)姓。,姓氏,a surname,surname
戾,lì,名词,450111,罪过,罪行或过错,crime; sin,crime
戾,lì,形容词,450112,乖张,性格乖僻,perverse; unreasonable,perverse
房,fáng,名词,56611,房子,供人居住的建筑物,house,house
房,fáng,名词,56612,房间,建筑物内的分隔空间,room,room
房,fáng,名词,56613,结构和作用像房子的东西,形状或功能类似房屋的物体,house-like structure,house-like object
房,fáng,名词,56614,指家族的分支,家族的分支,branch of an extended family,family branch
房,fáng,名词,56616,二十八宿之一。,二十八宿之一,"fang, one of the 28 constellations",Fang (28 constellations)
房,fáng,名词,56617,(Fáng)姓。,姓氏,a surname,surname
房东,fáng dōng,名词,694011,出租或出借房屋的人(对‘房客’而言as opposed to‘lodger’})。,房屋的出租者（与“房客”相对）,landlord or landlady; owner or lessor of a house or room,landlord
房间,fáng jiān,名词,568611,房子内隔成的各个部分,建筑物内由墙壁分隔的独立空间,room; space within a building separated by walls or partitions,room
所,suǒ,名词,6711,处所,地点；位置,place; location,place
所,suǒ,名词,6712,"明代驻兵的地点,大的叫千户所,小的叫百户所。现在只用于地名",明代驻军单位（现仅用于地名）,"places where troops were stationed in the Ming Dynasty, the bigger ones called qianhusuo, and the smaller ones called baihusuo, now used in place names only",Ming military station (now only in place names)
所,suǒ,名词,6713,用做机关或其他办事地方的名称,机关或办事机构的名称,office; bureau; institute,institute
所,suǒ,量词,6714,用于房屋,房屋的计量单位,for houses,classifier for houses
所,suǒ,助词,6715,"跟‘为’或‘被’合用,表示被动",与“为/被”连用表被动,[used together with 为wéi or 被bèi in the passive voice],passive voice marker
所,suǒ,名词,6716,(Suǒ)姓。,姓氏,a surname,surname
所以,suǒ yǐ,连词,575411,表示因果关系的连词。,表示因果关系的连词,[conj. indicating casuality],so; therefore
所以,suǒ yǐ,名词,575412,实在的情由或适宜的举动(限用于固定词组中做宾语),固定词组中指代特定内容,"[used in certain set phrases as the object of the verb, to refer to sth. indefinite but understood]",reason (in set phrases)
所有,suǒ yǒu,动词,650011,领有,拥有,own; possess,own
所有,suǒ yǒu,名词,650012,领有的东西,拥有的物品,possessions,possessions
所有,suǒ yǒu,形容词,650013,一切;全部,全部的,all,all
所谓,suǒ wèi,形容词,757011,所说的,通常所说的,so-named; what is known as,so-called
所谓,suǒ wèi,形容词,757012,(某些人)所说的(含不承认意),(某些人)所说的(含不承认意),so-called (falsely or improperly named),alleged
扁,biǎn,形容词,213511,图形或字体上下的距离比左右的距离小;物体的厚度比长度、宽度小,平面物体厚度小于长宽,flat; (of a picture or handwriting) the height is shorter than the width. The thickness of an object is always smaller than its length and width,flat
扁,piān,名词,213521,[扁舟](piānzhōu)小船,小船,small boat; skiff,skiff
扇,shàn,名词,183612,指板状或片状的东西,板状或片状物,panel; leaf,panel
扇,shàn,量词,183613,用于门窗等,门窗的计量单位,"[for doors, windows, etc.]",classifier for doors/windows
扇,shān,动词,183621,"摇动扇子或其他薄片,加速空气流动",用扇子等物摇动生风,fan; move or cause a current of air with a fan or sth. like it,fan (v.)
扇,shān,动词,183622,用手掌打,用手掌击打,box; hit with the palm of a hand,slap
扇子,shàn zi,名词,747911,摇动生风的用具,摇动生风的工具,fan; device for creating a current of air or a breeze,fan (n.)
扇子,shān zi,名词,2000100,手持纳凉工具,手持纳凉工具,fan,hand fan
扈,hù,名词,391311,随从,随从人员,retinue,retinue
扈,hù,名词,391312,(Hù)姓。,姓氏,a surname,surname
扉,fēi,名词,417311,门扇,门扇,door; leaf,door leaf
手,shǒu,名词,16711,人体上肢前端能拿东西的部分。,人体上肢末端抓握器官,"hand; the part at the end of a person's arm, used to pick up or keep hold of things",hand
手,shǒu,动词,16712,拿着,拿着,have in one's hand; hold,hold
手,shǒu,形容词,16713,小巧而便于拿的,小巧而便于拿的,handy; easy to carry,handheld
手,shǒu,副词,16714,亲手,亲自,personally,personally
手,shǒu,名词,16715,手段;手法,方法技巧,ability,technique
手,shǒu,名词,16717,擅长某种技能的人或做某种事的人,专业人士,expert in a certain skill or getting sth. done,expert
手势,shǒu shì,名词,956111,表示意思时用手(有时连同身体别的部分)所做的姿势,用手部动作传递信息,gesture; sign; signal,gesture
手套,shǒu tào,名词,2060363,保护手的织物,手部防护用品,gloves; hand covering,gloves
手工,shǒu gōng,名词,753311,靠手的技能做出的工作,靠手的技能做出的工作,handwork; manual work,handicraft
手工,shǒu gōng,动词,753312,用手操作,用手操作,by hand; manual,manual
手工,shǒu gōng,名词,753313,给予手工劳动的报酬,手工费,charge for a piece of handwork,handicraft fee
手指,shǒu zhǐ,名词,753711,人手前端的五个分支。,手掌的五个分支,finger; any of the digits of the hand,fingers
手术,shǒu shù,名词,753411,医生用医疗器械在病人的身体上进行的切除、缝合等治疗,医疗外科操作,"surgical operation; operation; treatment performed by a surgeon on any part of the body by excision, suture, ect. with medical instruments",surgery
手机,shǒu jī,名词,575211,手持式移动电话机的简称。,移动电话,Abbr. for手持式移动电话机shǒuchíshì yídòng diànhuàjī (cellphone; mobile phone),mobile phone
手段,shǒu duàn,名词,2052611,为达到某种目的而采取的具体方法,实现目的的方法,means; medium; measure; method,means
手段,shǒu duàn,名词,2052612,指待人处世所用的不正当的方法,不正当方法,trick; artifice,trick
手段,shǒu duàn,名词,2052613,本领;能耐,技能,skill; finesse,skill
手法,shǒu fǎ,名词,956011,(艺术品或文学作品的)技巧,艺术表现技巧,(of art or literature) skill; technique,technique
手续,shǒu xù,名词,753611,(办事的)程序,办事流程,procedures; formalities,procedure
手艺,shǒu yì,名词,956211,手工业工人的技术,手工技艺,craftsmanship; workmanship,craftsmanship
手表,shǒu biǎo,名词,575111,带在手腕上的表。,佩戴在手腕上用于显示时间的计时器。,wristwatch,wristwatch
才,cái,名词,21311,才能,个人所具备的知识、技能或能力。,talent; ability,talent; ability
才,cái,名词,21312,有才能的人,具备卓越才能的人。,capable person,capable person
才,cái,名词,21313,(Cái)姓。,中文姓氏之一。,a surname,a surname
才,cái,副词,21314,表示以前不久,表示动作或情况在不久前发生。,a short while ago,just; a short while ago
才,cái,副词,21315,表示事情发生得晚或结束得晚,表示动作或情况发生或结束的时间晚于预期。,"[indicating that something has taken place later than the usual, proper or expected lapse of time]",only then; not until
才,cái,连词,21316,表示只有在某种条件下然后怎样(前面常常用‘只有、必须’或含有这类意思),表示只有在某种条件下然后怎样(前面常常用‘只有、必须’或含有这类意思),"[oft. preceded by 只有zhǐyǒu, 必须bìxū or a sentence of similar meaning] not unless under certain conditions",only if; not unless
才,cái,副词,21317,"表示发生新情况,本来并不如此",表示新情况的出现，与之前不同。,not until,only then
才,cái,副词,21318,"对比起来表示数量小,次数少,能力差,程度低等等",通过对比表示数量少、能力低等。,"[indicating that sth. is less in quantity or frequency, inferior in ability, or lower in level, etc., in comparison] only, merely",only; merely
才,cái,副词,21319,表示强调所说的事(句尾常用‘呢’字),用于强调所说内容，常与“呢”搭配使用。,"[indicating an emphatic tone, usu. followed by 呢 ne]",indeed; really
才干,cái gàn,名词,812211,办事的能力,处理事务或解决问题的能力。,ability; competence; capability,ability; competence
扎,zhá,动词,132111,[扎挣](zhá zheng)勉强支撑,（方言）勉强支撑或应对。,struggle to (maintain); deal with sth. with difficulty (due to physical weakness),struggle to maintain
扎,zā,动词,132121,捆;束,用绳子等将物品捆紧。,do up (a package); tie; bind; bunch,tie; bind
扎,zā,量词,132122,用于捆起来的东西,（方言）用于计量捆好的物品。,bundle,bundle
扎,zhā,动词,132131,刺,用尖锐物刺入。,prick; push a needle into,prick; pierce
扎,zhā,动词,132132,钻(进去),（方言）快速进入或钻入。,dive (into),dive into
扎,zhā,动词,132133,驻扎,军队或人员在某地停留驻扎。,be stationed; be quartered,be stationed
扎实,zhā shi,形容词,1012811,结实,坚固不易损坏。,firm and secure,solid; firm
扎实,zhā shi,形容词,1012812,(工作、学问等)实在;塌实,（工作或学习）基础牢固，不浮躁。,"(of work, study, etc.) solid; sound; down-to-earth; firm",down-to-earth; thorough
扑,pū,动词,151511,"用力向前冲,使全身突然伏在物体上",身体快速向前倾倒或覆盖某物。,throw oneself on or at sth.; pounce on,pounce on
扑,pū,动词,151512,把全部心力用到(工作、事业等上面),全身心投入某项工作或事业。,dedicate all one's energies to a cause; devote,devote
扑,pū,动词,151513,扑打;拍打,用手或工具拍打物体。,flap; flutter,flap; beat
扑,pū,动词,151514,伏,（方言）身体向前弯曲。,bend over,bend over
扒,bā,动词,278211,抓着可依附的东西,用手抓住可依附的物体。,hold on to; cling to,hold on to
扒,bā,动词,278212,刨;挖;拆,用工具或手挖掘或拆除。,dig up; rake; pull down,dig; demolish
扒,bā,动词,278213,拨动,用手拨动物体。,push aside,push aside
扒,bā,动词,278214,脱掉;剥(bāo),去除衣物或覆盖物。,strip off; take off,strip off
扒,pá,动词,278221,用手或用耙子一类的工具使东西聚拢或散开,用工具或手将物品聚拢或分散。,scrape together; rake up,rake; gather
扒,pá,动词,278222,用手搔;抓;挠,（方言）用手抓挠皮肤。,scratch; scrape,scratch
扒,pá,动词,278223,扒窃,偷窃他人财物。,steal; be a pickpocket,steal
扒,pá,动词,278224,一种煨烂的烹调法,一种将食物用小火慢炖的烹饪方法。,stew; braise,braise; stew
打,dá,量词,24711,十二个为一打,计量单位，十二个为一打。,twelve makes a dozen,dozen
打,dǎ,动词,24721,用手或器具撞击物体,用手或器具撞击物体,knock or hit by hand or using a tool,hit; strike
打,dǎ,动词,24722,器皿、蛋类等因撞击而破碎,物体因受击而破碎。,"break; smash (a container, egg, etc.)",break; smash
打,dǎ,动词,24723,殴打;攻打,进行肢体冲突或攻击。,beat; fight; attack,fight; attack
打,dǎ,动词,24724,发生与人交涉的行为,与他人进行交涉或互动。,deal with sb. or sth.,deal with
打,dǎ,动词,24725,建造;修筑,进行建筑或工程建造。,construct; build,construct; build
打,dǎ,动词,24726,制造(器物、食品),制作工具或食品。,make (articles of daily use or food),make; produce
打,dǎ,动词,24727,搅拌,混合或搅动物体。,mix; stir; beat,mix; stir
打,dǎ,动词,24728,捆,用绳子等将物品捆扎。,tie up; pack,tie up; pack
打,dǎ,动词,24729,编织,用线或绳编织物品。,knit; weave,knit; weave
打,dǎ,动词,24730,涂抹;画;印,在物体表面涂抹或标记。,draw; paint; make a mark on,paint; mark
打,dǎ,动词,24731,揭;凿开,揭;凿开,open; dig,open; dig
打,dǎ,动词,24732,举;提,将物体举起或提起。,hoist; raise,raise; lift
打,dǎ,动词,24733,放射;发出,发出或投射物体。,send; dispatch; project,shoot; emit
打,dǎ,动词,24734,付给或领取(证件),发放或获得证件。,issue or receive (a certificate),issue; receive
打,dǎ,动词,24735,除去,清除或去掉某物。,remove; get rid of,remove; eliminate
打,dǎ,动词,24736,舀取,用工具舀取液体或颗粒物。,ladle; scoop,ladle; scoop
打,dǎ,动词,24737,买,购买商品或服务。,buy,buy; purchase
打,dǎ,动词,24738,捉(禽兽等),捕捉动物或禽类。,catch; hunt,catch; hunt
打,dǎ,动词,24739,用割、砍等动作来收集,通过割、砍等动作收集物品,gather in; reap; collect,reap
打,dǎ,动词,24740,定出;计算,计算或估算,calculate; reckon; estimate; work out,calculate
打,dǎ,动词,24741,定(某种罪名),判定某种罪名,convict sb. of a crime,convict
打,dǎ,介词,24742,从,表示起点或来源,from; since,from
打交道,dǎ jiāo dao,动词,685111,交际;来往;联系,与人交往或建立联系,come into (or make) contact with; have dealings with,interact
打交道,dǎ jiāo dào,动词,2000068,与人交往或处理事务,与人交往或处理事务,interact with,interact
打仗,dǎ zhàng,动词,830211,进行战争;进行战斗,参与战争或战斗,fight; go to war,fight
打击,dǎ jī,动词,829811,敲打;撞击,敲击或撞击,hit; strike,hit
打击,dǎ jī,动词,829812,攻击;使受挫折,攻击或挫败,attack; frustrate,attack
打包,dǎ bāo,动词,829611,用纸、布、麻袋、稻草等包装物品,用材料包装物品,"pack with paper, cloth, gunny-bag, straw, etc.",pack
打包,dǎ bāo,动词,829612,打开包着的东西,解开包裹,unpack,unpack
打印,dǎ yìn,动词,615911,打字油印,通过打字和油印复制,cut a stencil and mimeograph; mimeograph,mimeograph
打印,dǎ yìn,动词,615912,盖图章。,加盖印章,affix a seal on; stamp,stamp
打听,dǎ ting,动词,685211,探问,询问或探听,ask about; enquire about,enquire
打喷嚏,dǎ pēn tì,动词,2000069,鼻子受刺激后喷气,鼻子受刺激后喷气,sneeze,sneeze
打官司,dǎ guān si,动词,829711,进行诉讼。,参与法律诉讼,go to court; engage in a lawsuit,litigate
打工,dǎ gōng,动词,685011,做工(多指临时的,从事临时性工作,usu. temporarily,work
打扫,dǎ sǎo,动词,585011,扫除;清理,清理或扫除,sweep; clean,clean
打扮,dǎ ban,动词,615711,使容貌和衣着好看;装饰,装饰或化妆,do up; dress up; make up; deck out,dress up
打扮,dǎ ban,名词,615712,打扮出来的样子;衣着穿戴,衣着或装扮风格,way or style of dressing,appearance
打扰,dǎ rǎo,动词,615811,扰乱;搅扰,干扰或麻烦,disturb; trouble,disturb
打扰,dǎ rǎo,动词,615812,指受招待,委婉表示接受款待,be received,receive
打折,dǎ zhé,动词,2000037,降低商品原价,降低商品价格,sale discount,discount
打招呼,dǎ zhāo hu,动词,685311,用语言或动作表示问候,用语言或动作问候,(by words or gestures) greet sb.; say hello,greet
打招呼,dǎ zhāo hu,动词,685312,(事前或事后)就某项事情或某种问题予以通知、关照,事先或事后通知,notify; let sb. in on sth. (beforehand or afterwards),notify
打架,dǎ jià,动词,829911,互相争执殴打,互相争执或殴打,come to blows; fight; scuffle,fight
打猎,dǎ liè,动词,830111,在野外捕捉鸟兽。,在野外捕捉鸟兽,go hunting in the wild,hunt
打电话,dǎ diàn huà,动词,2000004,使用电话进行通讯,使用电话通讯,make a phone call,call
打算,dǎ suan,动词,585111,考虑;计划,计划或意图,plan; intend,plan
打算,dǎ suan,名词,585112,关于行动的方向、方法等的想法;念头,行动计划或想法,plan; consideration; calculation,plan
打算,dǎ suàn,动词,2000022,对未来的计划或想法,未来的计划或想法,plan,plan
打篮球,dá lán qiú,动词,2000013,进行篮球运动,进行篮球运动,play basketball,play basketball
打量,dǎ liang,动词,830011,观察(人的衣着、外貌),观察人的外貌或衣着,measure with the eye; look sb. up and down; size up,look up and down
打量,dǎ liang,动词,830012,以为;估计,猜测或估计,think; suppose,suppose
打针,dǎ zhēn,动词,616011,把液体药物用注射器注射到有机体内。,注射液体药物,give or get an injection,inject
扔,rēng,动词,200311,"挥动手臂,使拿着的东西离开手",挥臂使物品离手,throw; propel sth. through the air with a motion of the arm,throw
扔,rēng,动词,200312,抛弃;丢,丢弃或抛弃,throw away,discard
托,tuō,动词,104011,手掌或其他东西向上承受(物体),手掌或其他东西向上承受(物体),hold up; hold in the palm; support (an object) with the palm,hold
托,tuō,动词,104013,陪衬,陪衬,serve as a foil; set off,foil
托,tuō,动词,104014,委托；寄托,委托或请求,entrust; trust; ask,entrust
托,tuō,动词,104015,推托,借口或推辞,plead; give as a pretext; offer as an excuse,pretext
托,tuō,动词,104016,依赖,依靠或依赖,rely on; owe to; count upon; thanks to,rely
托,tuō,名词,104017,"压强单位,1托等于1毫米汞柱的压强,合133.32帕斯卡。",压强单位，等于1毫米汞柱,"torr; unit of pressure equal to the pressure of 1 mmHg, about 133.32 pascals;",torr
托运,tuō yùn,动词,970611,委托运输部门运(行李、货物等),委托运输部门运送,"consign for shipment; check; entrust transport departments to convey (luggage, goods, etc.)",consign
扛,káng,动词,256711,用肩膀承担物体,用肩膀承担重物,carry sth. on the shoulder; shoulder,shoulder
扛,gāng,动词,256721,用两手举(重物),双手举起重物,lift (sth. heavy) with both hands,lift
扛,gāng,动词,256722,抬东西。,方言：抬东西,carry sth. on shoulder,carry
扣,kòu,动词,173211,套住或搭住,固定或连接,buckle; button up,buckle
扣,kòu,动词,173212,器物口朝下放置或覆盖别的东西,倒置覆盖物品,"place a cup, bowl, etc., upside down; cover with an inverted cup, bowl, etc.",cover
扣,kòu,动词,173213,安上(罪名或不好的名义),强加罪名或标签,label; brand sb. with unwarranted or unfavourable labels,label
扣,kòu,动词,173214,扣留;扣押,拘留或强制保留,detain; take into custody; arrest,detain
扣,kòu,动词,173215,从原数额中减去一部分,从总额中减去部分金额,deduct (from an amount),deduct
扣,kòu,动词,173218,用力朝下击打,用力朝下击打,smash or spike (a ball),spike
扣,kòu,量词,173220,螺纹的一圈叫一扣,螺纹的单个完整圈数,loop of thread (on a screw),thread
扦,qiān,动词,418913,插,（方言）将物体刺入其他物体中,insert,insert
扦,qiān,动词,418914,修(脚);削,（方言）修剪或削除（如修脚）,pedicure; peel,pedicure
扦子,qiān zi,名词,2046911,金属、竹子等制成的针状物或主要部分是针状的器物,由金属或竹子制成的针状工具,"slender pointed piece of metal, bamboo, etc.",probe
扦子,qiān zi,名词,2046912,"插进装着粉末状或颗粒状货物的麻袋等从里面取出样品的金属器具,形状像中空的山羊角。",用于从袋装货物中取样，形似中空羊角的金属工具,"sharp-pointed metal tube, in the shape of a goat's hollow horn, used to extract samples of grains, powder, etc. from sacks",sampling tube
执,zhí,动词,100411,拿着,用手握住或抓住,hold; grasp,hold
执,zhí,动词,100412,执掌,掌管或负责管理,take charge of; direct; manage,manage
执,zhí,动词,100413,坚持,坚定地保持某种观点或做法,"stick to (one's views, etc.); persist",persist
执,zhí,动词,100414,执行;施行,实施或履行（如法律、命令）,carry out; observe,execute
执,zhí,动词,100415,捉住,捕获或捉拿,catch; capture,capture
执,zhí,名词,100416,凭单,书面凭证或单据,written acknowledgement,voucher
执,zhí,名词,100417,执友,亲密的朋友,intimate friend,confidant
执,zhí,名词,100418,(Zhí)姓。,姓氏,a surname,surname
执照,zhí zhào,名词,786911,由主管机关发给的准许做某项事情的凭证,官方颁发的从事某项活动的许可证明,licence; permit (issued by administrative organs),license
执行,zhí xíng,动词,786811,实施;实行(政策、法律、计划、命令、判决中规定的事项),实施或完成（政策、法律等规定的事项）,carry out; execute; implement,implement
扩,kuò,动词,83711,扩大,使范围或规模增大,expand; enlarge; extend,expand
扩充,kuò chōng,动词,902211,扩大充实,增加数量或加强内容,expand; strengthen; enlarge; augment,augment
扩大,kuò dà,动词,634911,使(范围、规模等)比原来大,使范围、规模等比原来更大,"enlarge; expand; increase (sphere, scale, etc.)",enlarge
扩张,kuò zhāng,动词,902411,扩大(势力、疆土等),扩大势力或领土范围,"expand; enlarge; extend; spread (influence, territory, etc.)",extend
扩散,kuò sàn,动词,902311,扩大分散出去,使物质或信息广泛传播,spread; diffuse; proliferate,diffuse
扪,mén,动词,441111,按;摸,用手轻压或抚摸,touch; feel,touch
扫,sǎo,动词,155611,用笤帚、扫帚除去尘土、垃圾等,用扫帚清除灰尘或垃圾,"sweep away dust, garbage, etc. with a broom or whisk",sweep
扫,sǎo,动词,155612,除去;消灭,彻底清除或消灭,wipe out,eliminate
扫,sǎo,动词,155613,很快地左右移动,很快地左右移动,move right and left quickly; sweep across,scan
扫,sǎo,动词,155614,归拢在一起,将分散的物品集中整理,put together,gather
扫,sào,动词,155621,"义同‘扫’(sǎo),用于‘扫帚’、‘扫把’等。",同“扫”（sǎo），用于“扫帚”等词,"same in meaning as 扫sǎo(sweep), used in 扫帚sào zhou or 扫把sàobǎ, which both mean broom",broom
扬,yáng,动词,102011,高举;往上升,将物体举起或使上升,raise; hoist,raise
扬,yáng,动词,102012,往上撒,往上撒,throw up and scatter; winnow,winnow
扬,yáng,动词,102013,传播出去,公开宣传使众人知晓,spread; make known,publicize
扬,yáng,形容词,102014,指容貌好看,形容外貌出众,good-looking,handsome
扬,yáng,名词,102015,指江苏扬州。,指江苏省扬州市,"Yangzhou, a city in Jiangsu Province",Yangzhou
扬,yáng,名词,102016,姓。,姓氏,a surname,surname
扭,niǔ,动词,167311,掉转;转动,改变方向或转身,turn round,turn
扭,niǔ,动词,167312,拧(nǐng),用力旋转或拧转物体,twist; wrench; wrest; wring,twist
扭,niǔ,动词,167313,拧伤(筋骨),拧伤(筋骨),sprain; wrench,sprain
扭,niǔ,动词,167314,身体左右摇动(多指走路时,走路时身体左右摆动,of one's body as one walks,sway
扭,niǔ,动词,167315,揪住,紧紧抓住不放,seize; grapple with,grapple
扭,niǔ,形容词,167316,不正,不端正或歪斜,crooked; skew; slant,askew
扭转,niǔ zhuǎn,动词,921711,掉转,改变方向或位置,turn; swing,rotate
扭转,niǔ zhuǎn,动词,921712,纠正或改变事物的发展方向或目前的状况,彻底改变现状或趋势,turn back; reverse; correct or change the tendency of sth. or the status quo,reverse
扮,bàn,动词,193011,化装成(某种人物),化装成(某种人物),dress up as; play the part of; disguise,disguise
扮,bàn,动词,193012,面部表情装成(某种样子),故意做出特定表情,put on (an expression),affect
扮演,bàn yǎn,动词,798411,化装成某种人物出场表演,在表演中饰演某个角色,play the role of; act,perform
扯,chě,动词,193111,拉,施加拉力使物体移动,drag; pull,pull
扯,chě,动词,193112,撕;撕下,将物体撕裂或剥离,tear; tear off,tear
扯,chě,动词,193113,漫无边际地闲谈,没有主题的随意聊天,chat; gossip; engage in a chit-chat,chitchat
扰,rǎo,动词,162011,扰乱;搅扰,干扰正常秩序,harass; disturb,disturb
扰,rǎo,动词,162012,混乱;紊乱,搅乱；使混乱,turmoil; chaos,disturb
扰,rǎo,动词,162013,因受人款待而表示客气,客套话，因受人款待而表示客气,bother; give sb. a good deal of bother,trouble
扰乱,rǎo luàn,动词,940811,"搅扰,使混乱或不安",使混乱或不安,harass; cause chaos; upset,disrupt
扳,bān,动词,307511,使位置固定的东西改变方向或转动,转动或改变固定物体的方向,change the direction of a fixed object; turn,turn
扳,bān,动词,307512,把输掉的赢回来,反败为胜,turn defeat into victory,reverse
扶,fú,动词,161611,用手支持使人、物或自己不倒,用手支撑以防倒下,support oneself or sb. else with the hand; support sth. with the hand,support
扶,fú,动词,161612,用手帮助躺着或倒下的人坐或立;用手使倒下的东西竖直,帮助躺下或倒下的人或物起身,straighten; hold up,help up
扶,fú,动词,161613,扶助,帮助；援助,help; assist; lend a hand,assist
扶,fú,名词,161614,(Fú)姓。,姓氏,a surname,surname
批,pī,动词,58611,用手掌打,用手掌击打,slap,slap
批,pī,动词,58612,刮;削。,刮削,scrape; peel; skin,scrape
批,pī,动词,58613,对下级文件表示意见或对文章予以批评(多指写在原件上),批示；批复,write a comment or instruction on a report submitted for deliberation,comment
批,pī,动词,58614,批判;批评,批评；批判,criticize,criticize
批,pī,动词,58615,大量(买卖货物,大量(买卖货物),of buying and selling,wholesale
批,pī,量词,58616,用于大宗的货物或多数的人,量词，用于大宗的货物或多数的人,batch; shipment; group,batch
批准,pī zhǔn,动词,737311,上级对下级的意见、建议或请求表示同意,同意；许可,"approve, endorse; ratify",approve
批判,pī pàn,动词,924911,"对错误的思想、言论或行为做系统的分析,加以否定",系统分析并否定错误,criticize; repudiate,critique
批判,pī pàn,动词,924912,批评,批评,criticism,criticism
批发,pī fā,动词,924811,成批地出售商品,批量销售,wholesale,wholesale
批评,pī píng,动词,640311,指出优点和缺点;评论好坏,评论优缺点,criticize; comment,evaluate
批评,pī píng,动词,640312,专指对缺点和错误提出意见,指出缺点错误,be critical of sb. or sth.; denounce; repudiate; upbraid,criticize
