cihui,pinyin,rank
积云,ji1'yun2,26255
加法,jia1'fa3,26256
见怪,jian4'guai4,26257
客船,ke4'chuan2,26258
口香糖,kou3'xiang1'tang2,26259
拉练,la1'lian4,26260
狼吞虎咽,lang2'tun1'hu3'yan4,26261
凉亭,liang2'ting2,26262
马灯,ma3'deng1,26263
迷乱,mi2'luan4,26264
棉纺,mian2'fang3,26265
明眼人,ming2'yan3'ren2,26266
拍子,pai1'zi3,26267
嘭,peng1,26268
皮肤病,pi2'fu1'bing4,26269
飘飘然,piao1'piao1'ran2,26270
屏蔽,ping2'bi4,26271
婆婆妈妈,po2'po2'ma1'ma1,26272
七零八落,qi1'ling2'ba1'luo4,26273
气冲冲,qi4'chong1'chong1,26274
抢滩,qiang3'tan1,26275
情由,qing2'you2,26276
全家福,quan2'jia1'fu2,26277
人之常情,ren2'zhi1'chang2'qing2,26278
日全食,ri4'quan2'shi2,26279
上品,shang4'pin3,26280
少年宫,shao4'nian2'gong1,26281
神通,shen2'tong1,26282
胜似,sheng4'si4,26283
失当,shi1'dang4,26284
食糖,shi2'tang2,26285
收拢,shou1'long3,26286
投工,tou2'gong1,26287
颓势,tui2'shi4,26288
完满,wan2'man3,26289
文告,wen2'gao4,26290
钨,wu1,26291
无言以对,wu2'yan2'yi3'dui4,26292
无一例外,wu2'yi1'li4'wai4,26293
五湖四海,wu3'hu2'si4'hai3,26294
误信,wu4'xin4,26295
喜笑颜开,xi3'xiao4'yan2'kai1,26296
小卖部,xiao3'mai4'bu4,26297
些微,xie1'wei1,26298
胸闷,xiong1'men4,26299
玄虚,xuan2'xu1,26300
巡诊,xun2'zhen3,26301
遗骸,yi2'hai2,26302
营建,ying2'jian4,26303
原价,yuan2'jia4,26304
征召,zheng1'zhao4,26305
整数,zheng3'shu4,26306
枝繁叶茂,zhi1'fan2'ye4'mao4,26307
暗笑,an4'xiao4,26308
白桦,bai2'hua4,26309
报信,bao4'xin4,26310
边防军,bian1'fang2'jun1,26311
变乱,bian4'luan4,26312
病假,bing4'jia4,26313
财大气粗,cai2'da4'qi4'cu1,26314
吃请,chi1'qing3,26315
持重,chi2'zhong4,26316
出丑,chu1'chou3,26317
垂死,chui2'si3,26318
打垮,da3'kua3,26319
玳瑁,dai4'mao4,26320
婀娜,e1'nuo2,26321
饭庄,fan4'zhuang1,26322
防疫站,fang2'yi4'zhan4,26323
肺腑之言,fei4'fu3'zhi1'yan2,26324
分属,fen1'shu3,26325
凤毛麟角,feng4'mao2'lin2'jiao3,26326
佛家,fo2'jia1,26327
俯冲,fu3'chong1,26328
父母官,fu4'mu3'guan1,26329
复述,fu4'shu4,26330
盖帽儿,gai4'mao4'er,26331
高难,gao1'nan2,26332
革履,ge2'lv3,26333
革职,ge2'zhi2,26334
果子狸,guo3'zi3'li2,26335
婚期,hun1'qi1,26336
活法,huo2'fa3,26337
纪元,ji4'yuan2,26338
家小,jia1'xiao3,26339
驾照,jia4'zhao4,26340
缴税,jiao3'shui4,26341
接风,jie1'feng1,26342
纠察队,jiu1'cha2'dui4,26343
军法,jun1'fa3,26344
炼焦,lian4'jiao1,26345
绿肥,lv4'fei2,26346
闷闷不乐,men4'men4'bu4'le4,26347
暮春,mu4'chun1,26348
杀伤力,sha1'shang1'li4,26349
伤病员,shang1'bing4'yuan2,26350
上水,shang4'shui3,26351
烧纸,shao1'zhi3,26352
谁人,shei2'ren2,26353
食物链,shi2'wu4'lian4,26354
索引,suo3'yin3,26355
太甚,tai4'shen4,26356
叹服,tan4'fu2,26357
碳酸,tan4'suan1,26358
铁人三项,tie3'ren2'san1'xiang4,26359
同姓,tong2'xing4,26360
统管,tong3'guan3,26361
微利,wei1'li4,26362
蜈蚣,wu2'gong1,26363
行书,xing2'shu1,26364
熊掌,xiong2'zhang3,26365
血水,xue4'shui3,26366
鸭蛋,ya1'dan4,26367
严刑,yan2'xing2,26368
一骨碌,yi1'gu1'lu,26369
迎送,ying2'song4,26370
有恃无恐,you3'shi4'wu2'kong3,26371
郁郁,yu4'yu4,26372
元凶,yuan2'xiong1,26373
钟点,zhong1'dian3,26374
撞车,zhuang4'che1,26375
太监,tai4'jian4,26376
抱不平,bao4'bu4'ping2,26377
查抄,cha2'chao1,26378
车前,che1'qian2,26379
代劳,dai4'lao2,26380
当空,dang1'kong1,26381
灯箱,deng1'xiang1,26382
发电站,fa1'dian4'zhan4,26383
复明,fu4'ming2,26384
勾搭,gou1'da,26385
怪诞,guai4'dan4,26386
光辉灿烂,guang1'hui1'can4'lan4,26387
和颜悦色,he2'yan2'yue4'se4,26388
黑锅,hei1'guo1,26389
哄堂大笑,hong1'tang2'da4'xiao4,26390
花剑,hua1'jian4,26391
祸事,huo4'shi4,26392
觊觎,ji4'yu2,26393
寄居,ji4'ju1,26394
架空,jia4'kong1,26395
简言之,jian3'yan2'zhi1,26396
筋斗,jin1'dou3,26397
惊惧,jing1'ju4,26398
晶亮,jing1'liang4,26399
井台,jing3'tai2,26400
刻本,ke4'ben3,26401
老幼,lao3'you4,26402
类推,lei4'tui1,26403
礼让,li3'rang4,26404
螺丝钉,luo2'si1'ding1,26405
煤球,mei2'qiu2,26406
明火,ming2'huo3,26407
明人,ming2'ren2,26408
木柴,mu4'chai2,26409
批次,pi1'ci4,26410
披靡,pi1'mi3,26411
皮下,pi2'xia4,26412
前夫,qian2'fu1,26413
青黄不接,qing1'huang2'bu4'jie1,26414
轻车简从,qing1'che1'jian3'cong2,26415
上溯,shang4'su4,26416
投毒,tou2'du2,26417
脱逃,tuo1'tao2,26418
娓娓,wei3'wei3,26419
巫术,wu1'shu4,26420
巷战,xiang4'zhan4,26421
小动作,xiao3'dong4'zuo4,26422
心魄,xin1'po4,26423
省悟,xing3'wu4,26424
凶器,xiong1'qi4,26425
雪崩,xue3'beng1,26426
血案,xue4'an4,26427
循循善诱,xun2'xun2'shan4'you4,26428
盐业,yan2'ye4,26429
纸牌,zhi3'pai2,26430
炷,zhu4,26431
装傻,zhuang1'sha3,26432
走南闯北,zou3'nan2'chuang3'bei3,26433
嘬,zuo1,26434
冰河,bing1'he2,26435
侧目,ce4'mu4,26436
成色,cheng2'se4,26437
床板,chuang2'ban3,26438
打杂儿,da3'za2'er,26439
大节,da4'jie2,26440
大庭广众,da4'ting2'guang3'zhong4,26441
带薪,dai4'xin1,26443
单线,dan1'xian4,26444
对本,dui4'ben3,26445
夺魁,duo2'kui2,26446
公文包,gong1'wen2'bao1,26447
古时候,gu3'shi2'hou4,26448
海马,hai3'ma3,26449
后怕,hou4'pa4,26450
花蕊,hua1'rui3,26451
幻灭,huan4'mie4,26452
浑圆,hun2'yuan2,26453
级差,ji2'cha1,26454
加权,jia1'quan2,26455
江流,jiang1'liu2,26456
救兵,jiu4'bing1,26457
矩阵,ju3'zhen4,26458
空房,kong1'fang2,26459
裤衩,ku4'cha3,26460
快慰,kuai4'wei4,26461
困顿,kun4'dun4,26462
蜡黄,la4'huang2,26463
辣子,la4'zi3,26464
吝惜,lin4'xi1,26465
卖主,mai4'zhu3,26466
铆,mao3,26467
眯缝,mi1'feng,26468
内裤,nei4'ku4,26469
农工商,nong2'gong1'shang1,26470
女娲,nv3'wa1,26471
贫贱,pin2'jian4,26472
平均数,ping2'jun1'shu4,26473
麒麟,qi2'lin2,26474
情真意切,qing2'zhen1'yi4'qie4,26475
惹祸,re3'huo4,26476
入海口,ru4'hai3'kou3,26477
山神,shan1'shen2,26478
伤风,shang1'feng1,26479
哨位,shao4'wei4,26480
十之八九,shi2'zhi1'ba1'jiu3,26481
受权,shou4'quan2,26482
死难,si3'nan4,26483
送死,song4'si3,26484
桃红,tao2'hong2,26485
套子,tao4'zi3,26486
听之任之,ting1'zhi1'ren4'zhi1,26487
偷工减料,tou1'gong1'jian3'liao4,26488
顽固派,wan2'gu4'pai4,26489
文艺批评,wen2'yi4'pi1'ping2,26490
无际,wu2'ji4,26491
误入歧途,wu4'ru4'qi2'tu2,26492
西头,xi1'tou2,26493
惜败,xi1'bai4,26494
心间,xin1'jian1,26495
猩红,xing1'hong2,26496
猩猩,xing1'xing1,26497
汹汹,xiong1'xiong1,26498
须眉,xu1'mei2,26499
选修,xuan3'xiu1,26500
一纸空文,yi1'zhi3'kong1'wen2,26501
迎新,ying2'xin1,26502
有愧,you3'kui4,26503
赈济,zhen4'ji4,26504
直逼,zhi2'bi1,26505
中暑,zhong4'shu3,26506
哀叹,ai1'tan4,26507
半边天,ban4'bian1'tian1,26508
避让,bi4'rang4,26509
长程,chang2'cheng2,26510
超收,chao1'shou1,26511
充气,chong1'qi4,26512
臭骂,chou4'ma4,26513
出奇制胜,chu1'qi2'zhi4'sheng4,26514
船舷,chuan2'xian2,26515
春潮,chun1'chao2,26516
搭救,da1'jiu4,26517
代课,dai4'ke4,26518
灯饰,deng1'shi4,26519
地痞,di4'pi3,26520
电杆,dian4'gan3,26521
东山再起,dong1'shan1'zai4'qi3,26522
反侧,fan3'ce4,26523
封条,feng1'tiao2,26524
概念化,gai4'nian4'hua4,26525
国脚,guo2'jiao3,26526
过路人,guo4'lu4'ren2,26527
画片,hua4'pian4,26528
还手,huan2'shou3,26529
回笼,hui2'long2,26530
回心转意,hui2'xin1'zhuan3'yi4,26531
机长,ji1'chang2,26532
急中生智,ji2'zhong1'sheng1'zhi4,26533
讲稿,jiang3'gao3,26534
皎洁,jiao3'jie2,26535
解禁,jie3'jin4,26536
金刚钻,jin1'gang1'zuan4,26537
进门,jin4'men2,26538
进项,jin4'xiang4,26539
禁放,jin4'fang4,26540
静穆,jing4'mu4,26541
开演,kai1'yan3,26542
老道,lao3'dao4,26543
雷管,lei2'guan3,26544
礼拜天,li3'bai4'tian1,26545
良将,liang2'jiang1,26546
另类,ling4'lei4,26547
漏网,lou4'wang3,26548
罗网,luo2'wang3,26549
庙堂,miao4'tang2,26550
名酒,ming2'jiu3,26551
模棱两可,mo2'leng2'liang3'ke3,26552
抛荒,pao1'huang1,26553
配给,pei4'ji3,26554
配料,pei4'liao4,26555
频谱,pin2'pu3,26556
亲嘴,qin1'zui3,26557
沁人心脾,qin4'ren2'xin1'pi2,26558
全数,quan2'shu4,26559
人才济济,ren2'cai2'ji3'ji3,26560
扫描仪,sao3'miao2'yi2,26561
稍纵即逝,shao1'zong4'ji2'shi4,26562
厮守,si1'shou3,26563
塑料布,su4'liao4'bu4,26564
探矿,tan4'kuang4,26565
烫手,tang4'shou3,26566
逃之夭夭,tao2'zhi1'yao1'yao1,26567
调情,tiao2'qing2,26568
投机倒把,tou2'ji1'dao3'ba3,26569
外埠,wai4'bu4,26570
外戚,wai4'qi1,26571
万般无奈,wan4'ban1'wu2'nai4,26572
问罪,wen4'zui4,26573
污垢,wu1'gou4,26574
无法无天,wu2'fa3'wu2'tian1,26575
无物,wu2'wu4,26576
武打,wu3'da3,26577
吸吮,xi1'shun3,26578
相安无事,xiang1'an1'wu2'shi4,26579
小人儿,xiao3'ren2'er,26580
新装,xin1'zhuang1,26581
压榨,ya1'zha4,26582
样板戏,yang4'ban3'xi4,26583
一转眼,yi1'zhuan3'yan3,26584
隐没,yin3'mo4,26585
有求必应,you3'qiu2'bi4'ying4,26586
余音,yu2'yin1,26587
在野,zai4'ye3,26588
造作,zao4'zuo,26589
占上风,zhan4'shang4'feng1,26590
真皮,zhen1'pi2,26591
真心话,zhen1'xin1'hua4,26592
证词,zheng4'ci2,26593
专供,zhuan1'gong4,26594
萍,ping2,26595
挨近,ai1'jin4,26596
冰封,bing1'feng1,26597
才情,cai2'qing2,26598
参阅,can1'yue4,26599
成问题,cheng2'wen4'ti2,26600
丑事,chou3'shi4,26601
传道,chuan2'dao4,26602
错乱,cuo4'luan4,26603
当班,dang1'ban1,26604
迭起,die2'qi3,26605
发烫,fa1'tang4,26606
分贝,fen1'bei4,26607
干净利落,gan1'jing4'li4'luo,26608
公海,gong1'hai3,26609
怪罪,guai4'zui4,26610
过客,guo4'ke4,26611
虎视眈眈,hu3'shi4'dan1'dan1,26612
幻象,huan4'xiang4,26613
监牢,jian1'lao2,26614
简约,jian3'yue1,26615
紧闭,jin3'bi4,26616
尽收眼底,jin4'shou1'yan3'di3,26617
近旁,jin4'pang2,26618
扣球,kou4'qiu2,26619
劳务费,lao2'wu4'fei4,26620
乐土,le4'tu3,26621
冷颤,leng3'zhan4,26622
两鬓,liang3'bin4,26623
亮堂,liang4'tang2,26624
卖力气,mai4'li4'qi4,26625
煤烟,mei2'yan1,26626
磨盘,mo4'pan2,26627
陪护,pei2'hu4,26628
批改,pi1'gai3,26629
桥头堡,qiao2'tou2'bao3,26631
亲缘,qin1'yuan2,26632
染病,ran3'bing4,26633
杀手锏,sha1'shou3'jian3,26634
示人,shi4'ren2,26635
首航,shou3'hang2,26636
梳妆台,shu1'zhuang1'tai2,26637
土产,tu3'chan3,26638
外露,wai4'lu4,26639
外迁,wai4'qian1,26640
外星人,wai4'xing1'ren2,26641
宛,wan3,26642
仙鹤,xian1'he4,26643
小结,xiao3'jie2,26644
小摊儿,xiao3'tan1'er2,26645
心安,xin1'an1,26646
轩然大波,xuan1'ran2'da4'bo1,26647
学名,xue2'ming2,26648
眼中钉,yan3'zhong1'ding1,26649
有生之年,you3'sheng1'zhi1'nian2,26650
语塞,yu3'se4,26651
月台,yue4'tai2,26652
越境,yue4'jing4,26653
张目,zhang1'mu4,26654
斟酒,zhen1'jiu3,26655
滋补,zi1'bu3,26656
保险柜,bao3'xian3'gui4,26657
暴富,bao4'fu4,26658
鄙人,bi3'ren2,26659
标语牌,biao1'yu3'pai2,26660
病史,bing4'shi3,26661
病势,bing4'shi4,26662
草甸,cao3'dian4,26663
出生率,chu1'sheng1'lv4,26664
打字机,da3'zi4'ji1,26665
大雅,da4'ya3,26666
敌国,di2'guo2,26667
惦,dian4,26669
赌徒,du3'tu2,26670
睹咒,du3'zhou4,26671
发迹,fa1'ji4,26672
反光,fan3'guang1,26673
分片,fen1'pian4,26674
纷纭,fen1'yun2,26675
峰峦,feng1'luan2,26676
告负,gao4'fu4,26677
工艺流程,gong1'yi4'liu2'cheng2,26678
光明正大,guang1'ming2'zheng4'da4,26679
狠命,hen3'ming4,26680
槐花,huai2'hua1,26681
绘声绘色,hui4'sheng1'hui4'se4,26682
稽察,ji1'cha2,26683
检票,jian3'piao4,26684
胶水,jiao1'shui3,26685
金条,jin1'tiao2,26686
军歌,jun1'ge1,26687
课间,ke4'jian1,26688
快报,kuai4'bao4,26689
拉拉队,la1'la1'dui4,26690
离间,li2'jian4,26691
链子,lian4'zi3,26692
迷途,mi2'tu2,26693
名誉权,ming2'yu4'quan2,26694
墨迹,mo4'ji4,26695
奶酪,nai3'lao4,26696
鸟瞰,niao3'kan4,26697
旗舰,qi2'jian4,26698
侵扰,qin1'rao3,26699
伤脑筋,shang1'nao3'jin1,26700
上瘾,shang4'yin3,26701
提干,ti2'gan1,26702
天方夜谭,tian1'fang1'ye4'tan2,26703
图说,tu2'shuo1,26704
退款,tui4'kuan3,26705
外城,wai4'cheng2,26706
小利,xiao3'li4,26707
小觑,xiao3'qu4,26708
小圈子,xiao3'quan1'zi,26709
巡洋舰,xun2'yang2'jian4,26710
洋芋,yang2'yu4,26711
一气呵成,yi1'qi4'he1'cheng2,26712
一往情深,yi1'wang3'qing2'shen1,26713
油气田,you2'qi4'tian2,26714
越轨,yue4'gui3,26715
越界,yue4'jie4,26716
再犯,zai4'fan4,26717
在理,zai4'li3,26718
着凉,zhao2'liang2,26719
中计,zhong1'ji4,26720
驻防,zhu4'fang2,26721
宗派,zong1'pai4,26722
板壁,ban3'bi4,26724
编选,bian1'xuan3,26725
编组,bian1'zu3,26726
并称,bing4'cheng1,26727
不尽然,bu4'jin4'ran2,26728
柴米油盐,chai2'mi3'you2'yan2,26729
颤巍巍,chan4'wei1'wei1,26730
撤诉,che4'su4,26731
乘法,cheng2'fa3,26732
赤身裸体,chi4'shen1'luo3'ti3,26733
赤手,chi4'shou3,26734
畜力,chu4'li4,26735
从轻,cong2'qing1,26736
大墙,da4'qiang2,26737
担惊受怕,dan1'jing1'shou4'pa4,26738
吊装,diao4'zhuang1,26739
读音,du2'yin1,26740
方块,fang1'kuai4,26741
奋然,fen4'ran2,26742
风云人物,feng1'yun2'ren2'wu4,26743
福分,fu2'fen,26744
干系,gan1'xi4,26745
工区,gong1'qu1,26746
工作证,gong1'zuo4'zheng4,26747
海派,hai3'pai4,26748
海员,hai3'yuan2,26749
胡来,hu2'lai2,26750
黄鼠狼,huang2'shu3'lang2,26751
毁损,hui3'sun3,26752
活学活用,huo2'xue2'huo2'yong4,26753
积存,ji1'cun2,26754
稽核,ji1'he2,26755
即席,ji2'xi2,26756
计息,ji4'xi1,26757
接力棒,jie1'li4'bang4,26758
近前,jin4'qian2,26759
救济金,jiu4'ji4'jin1,26760
俊秀,jun4'xiu4,26761
克星,ke4'xing1,26762
阔绰,kuo4'chuo4,26763
老中青,lao3'zhong1'qing1,26764
乐事,le4'shi4,26765
密令,mi4'ling4,26766
牛皮癣,niu2'pi2'xuan3,26767
偏于,pian1'yu2,26768
奇才,qi2'cai2,26769
奇缺,qi2'que1,26770
气量,qi4'liang4,26771
亲娘,qin1'niang2,26772
求和,qiu2'he2,26773
柔媚,rou2'mei4,26774
散居,san3'ju1,26775
烧制,shao1'zhi4,26776
十全十美,shi2'quan2'shi2'mei3,26777
兽类,shou4'lei4,26778
顺流,shun4'liu2,26779
天仙,tian1'xian1,26780
退场,tui4'chang3,26781
倭寇,wo1'kou4,26782
武夫,wu3'fu1,26783
纤维素,xian1'wei2'su4,26784
闲情,xian2'qing2,26785
解数,xie4'shu4,26786
学龄,xue2'ling2,26787
掩面,yan3'mian4,26788
衣架,yi1'jia4,26789
英灵,ying1'ling2,26790
余波,yu2'bo1,26791
云散,yun2'san4,26792
长亲,zhang3'qin1,26793
遮拦,zhe1'lan2,26794
直爽,zhi2'shuang3,26795
只当,zhi1'dang1,26796
铸铁,zhu4'tie3,26797
酌情,zhuo2'qing2,26798
暗算,an4'suan4,26799
白水,bai2'shui3,26800
败露,bai4'lu4,26801
半圆,ban4'yuan2,26802
闭路电视,bi4'lu4'dian4'shi4,26803
博采众长,bo2'cai3'zhong4'chang2,26804
残渣,can2'zha1,26805
出苗,chu1'miao2,26806
待机,dai4'ji1,26807
倒伏,dao3'fu2,26808
鹳,guan4,26809
国际互联网,guo2'ji4'hu4'lian2'wang3,26810
害群之马,hai4'qun2'zhi1'ma3,26811
含情,han2'qing2,26812
寒碜,han2'chen3,26813
豢养,huan4'yang3,26814
急进,ji2'jin4,26815
纪念章,ji4'nian4'zhang1,26816
既得利益,ji4'de2'li4'yi4,26817
郊县,jiao1'xian4,26818
咖啡色,ka1'fei1'se4,26819
口福,kou3'fu2,26820
蓝领,lan2'ling3,26821
浪子,lang4'zi3,26822
牢笼,lao2'long2,26823
灵光,ling2'guang1,26824
满面春风,man3'mian4'chun1'feng1,26825
忙乎,mang2'hu1,26826
纳西族,na4'xi1'zu2,26827
溺死,ni4'si3,26828
女婴,nv3'ying1,26829
盘桓,pan2'huan2,26830
判罚,pan4'fa2,26831
庞杂,pang2'za2,26832
仁人志士,ren2'ren2'zhi4'shi4,26833
入道,ru4'dao4,26834
入迷,ru4'mi2,26835
丧礼,sang1'li3,26836
手术刀,shou3'shu4'dao1,26837
书展,shu1'zhan3,26838
束之高阁,shu4'zhi1'gao1'ge2,26839
调戏,tiao2'xi4,26840
土坑,tu3'keng1,26841
晚香玉,wan3'xiang1'yu4,26842
婉言,wan3'yan2,26843
威逼,wei1'bi1,26844
畏怯,wei4'qie4,26845
五脏六腑,wu3'zang4'liu4'fu3,26846
务虚,wu4'xu1,26847
心悸,xin1'ji4,26848
心照不宣,xin1'zhao4'bu4'xuan1,26849
兴叹,xing1'tan4,26850
殉职,xun4'zhi2,26851
言传身教,yan2'chuan2'shen1'jiao4,26852
炎黄,yan2'huang2,26853
药理,yao4'li3,26854
引线,yin3'xian4,26855
应接不暇,ying4'jie1'bu4'xia2,26856
邮资,you2'zi1,26857
运筹,yun4'chou2,26858
暂住证,zan4'zhu4'zheng4,26859
沼泽地,zhao3'ze2'di4,26860
政通人和,zheng4'tong1'ren2'he2,26861
置之度外,zhi4'zhi1'du4'wai4,26862
中表,zhong1'biao3,26863
株连,zhu1'lian2,26864
惴惴不安,zhui4'zhui4'bu4'an1,26865
自荐,zi4'jian4,26866
鞭打,bian1'da3,26867
变速,bian4'su4,26868
病程,bing4'cheng2,26869
病体,bing4'ti3,26870
茶亭,cha2'ting2,26871
查究,cha2'jiu1,26872
长裤,chang2'ku4,26873
冲垮,chong1'kua3,26874
传唤,chuan2'huan4,26875
氮气,dan4'qi4,26876
党龄,dang3'ling2,26877
短裙,duan3'qun2,26878
哆哆嗦嗦,duo1'duo1'suo1'suo1,26879
风洞,feng1'dong4,26880
风和日丽,feng1'he2'ri4'li4,26881
枫叶,feng1'ye4,26882
肝硬化,gan1'ying4'hua4,26883
敢干,gan3'gan1,26884
敢为人先,gan3'wei2'ren2'xian1,26885
关系网,guan1'xi4'wang3,26886
好胜,hao4'sheng4,26887
红烛,hong2'zhu2,26888
花销,hua1'xiao1,26889
华而不实,hua2'er2'bu4'shi2,26890
缓期,huan3'qi1,26891
皇粮,huang2'liang2,26892
皇权,huang2'quan2,26893
黄金时间,huang2'jin1'shi2'jian1,26894
火箭弹,huo3'jian4'dan4,26895
获知,huo4'zhi1,26896
兼营,jian1'ying2,26897
减幅,jian3'fu2,26898
胶皮,jiao1'pi2,26899
节流,jie2'liu2,26900
精妙,jing1'miao4,26901
抗联,kang4'lian2,26902
空间技术,kong1'jian1'ji4'shu4,26903
苦海,ku3'hai3,26904
立柱,li4'zhu4,26905
联产,lian2'chan3,26906
买方市场,mai3'fang1'shi4'chang3,26907
猛力,meng3'li4,26908
木桥,mu4'qiao2,26909
爬坡,pa2'po1,26910
荞麦,qiao2'mai4,26911
亲善,qin1'shan4,26912
曲棍球,qu1'gun4'qiu2,26913
全票,quan2'piao4,26914
瓤,rang2,26915
任人唯贤,ren4'ren2'wei2'xian2,26916
如饥似渴,ru2'ji1'si4'ke3,26917
润滑,run4'hua2,26918
塞责,se4'ze2,26919
傻乎乎,sha3'hu1'hu1,26920
守寡,shou3'gua3,26921
水坑,shui3'keng1,26922
索然,suo3'ran2,26923
跳蚤,tiao4'zao3,26924
桐油,tong2'you2,26925
头破血流,tou2'po4'xue4'liu2,26926
纹丝不动,wen2'si1'bu4'dong4,26927
乌烟瘴气,wu1'yan1'zhang4'qi4,26928
喜形于色,xi3'xing2'yu2'se4,26929
戏言,xi4'yan2,26930
细问,xi4'wen4,26931
乡党,xiang1'dang3,26932
岩壁,yan2'bi4,26933
吟咏,yin2'yong3,26934
银发,yin2'fa4,26935
永世,yong3'shi4,26936
优胜,you1'sheng4,26937
有奖,you3'jiang3,26938
在读,zai4'du2,26939
占卜,zhan1'bu3,26940
展期,zhan3'qi1,26941
真知,zhen1'zhi1,26942
纸上谈兵,zhi3'shang4'tan2'bing1,26943
咫尺,zhi3'chi3,26944
主创人员,zhu3'chuang4'ren2'yuan2,26945
注射器,zhu4'she4'qi4,26946
坐骑,zuo4'qi2,26947
斑白,ban1'bai2,26948
保质期,bao3'zhi4'qi1,26949
报捷,bao4'jie2,26950
碧蓝,bi4'lan2,26951
初战,chu1'zhan4,26952
窗棂,chuang1'ling2,26953
春意盎然,chun1'yi4'ang4'ran2,26954
胆战心惊,dan3'zhan4'xin1'jing1,26955
弹片,dan4'pian4,26956
堤岸,di1'an4,26957
电筒,dian4'tong3,26958
纷纷扬扬,fen1'fen1'yang2'yang2,26959
干戈,gan1'ge1,26960
拐角,guai3'jiao3,26961
寒噤,han2'jin4,26962
核扩散,he2'kuo4'san4,26963
恒温,heng2'wen1,26964
患难与共,huan4'nan4'yu3'gong4,26965
活灵活现,huo2'ling2'huo2'xian4,26966
夹角,jia1'jiao3,26967
见习,jian4'xi2,26968
经济法,jing1'ji4'fa3,26969
竞聘,jing4'pin4,26970
腊肉,la4'rou4,26971
老到,lao3'dao4,26972
鳞片,lin2'pian4,26973
领情,ling3'qing2,26974
流毒,liu2'du2,26975
龙灯,long2'deng1,26976
聋哑,long2'ya3,26977
律动,lv4'dong4,26978
落叶松,luo4'ye4'song1,26979
门楣,men2'mei2,26980
门生,men2'sheng1,26981
拿不准,na2'bu4'zhun3,26982
能工巧匠,neng2'gong1'qiao3'jiang4,26983
拍卖行,pai1'mai4'xing2,26984
跑动,pao3'dong4,26985
奇遇,qi2'yu4,26986
祈福,qi2'fu2,26987
起重机,qi3'zhong4'ji1,26988
枪法,qiang1'fa3,26989
抢收,qiang3'shou1,26990
俏皮话,qiao4'pi2'hua4,26991
青蒿,qing1'hao1,26992
三番五次,san1'fan1'wu3'ci4,26993
神主,shen2'zhu3,26994
声气,sheng1'qi4,26995
实景,shi2'jing3,26996
手风琴,shou3'feng1'qin2,26997
摔打,shuai1'da,26998
水深火热,shui3'shen1'huo3're4,26999
忐忑,tan3'te4,27000
套房,tao4'fang2,27001
天伦之乐,tian1'lun2'zhi1'le4,27002
土语,tu3'yu3,27003
瓦罐,wa3'guan4,27004
唯利是图,wei2'li4'shi4'tu2,27005
无补,wu2'bu3,27006
舞池,wu3'chi2,27007
细软,xi4'ruan3,27008
消长,xiao1'zhang3,27009
小农,xiao3'nong2,27010
校务,xiao4'wu4,27011
羞惭,xiu1'can2,27012
一览无余,yi1'lan3'wu2'yu2,27013
易地,yi4'di4,27014
育秧,yu4'yang1,27015
欲求,yu4'qiu2,27016
遇刺,yu4'ci4,27017
躁动,zao4'dong4,27018
主攻手,zhu3'gong1'shou3,27019
奏乐,zou4'yue4,27020
沁,qin4,27021
安身,an1'shen1,27022
按兵不动,an4'bing1'bu4'dong4,27023
熬夜,ao2'ye4,27024
保护人,bao3'hu4'ren2,27025
冰晶,bing1'jing1,27026
不务正业,bu4'wu4'zheng4'ye4,27027
采收,cai3'shou1,27028
插座,cha1'zuo4,27029
长线,chang2'xian4,27030
成婚,cheng2'hun1,27031
舂,chong1,27032
出远门,chu1'yuan3'men2,27033
垂手,chui2'shou3,27034
翠竹,cui4'zhu2,27035
鹅卵石,e2'luan3'shi2,27036
访友,fang3'you3,27037
飞腾,fei1'teng2,27038
伏法,fu2'fa3,27039
抚弄,fu3'nong4,27040
富丽,fu4'li4,27041
高台,gao1'tai2,27042
工交,gong1'jiao1,27043
滚开,gun3'kai1,27044
鸡毛蒜皮,ji1'mao2'suan4'pi2,27045
军礼,jun1'li3,27046
开诚布公,kai1'cheng2'bu4'gong1,27047
抗寒,kang4'han2,27048
可见光,ke3'jian4'guang1,27049
来犯,lai2'fan4,27050
擂台,lei4'tai2,27051
立地,li4'di4,27052
廉耻,lian2'chi3,27053
撩拨,liao2'bo1,27054
列国,lie4'guo2,27055
论处,lun4'chu3,27056
毛细血管,mao2'xi4'xue4'guan3,27057
面罩,mian4'zhao4,27058
青椒,qing1'jiao1,27059
情分,qing2'fen4,27060
穷追,qiong2'zhui1,27061
群峰,qun2'feng1,27062
人情味儿,ren2'qing2'wei4'er2,27063
人心惶惶,ren2'xin1'huang2'huang2,27064
散伙,san4'huo3,27065
婶娘,shen3'niang2,27066
生龙活虎,sheng1'long2'huo2'hu3,27067
省辖市,sheng3'xia2'shi4,27068
失礼,shi1'li3,27069
十三陵,shi2'san1'ling2,27070
誓师,shi4'shi1,27071
锁链,suo3'lian4,27072
统辖,tong3'xia2,27073
囤积,tun2'ji1,27074
万恶,wan4'e4,27075
午宴,wu3'yan4,27076
西装革履,xi1'zhuang1'ge2'lv3,27077
下不来,xia4'bu'lai2,27078
下饭,xia4'fan4,27079
小辫子,xiao3'bian4'zi3,27080
心慌意乱,xin1'huang1'yi4'luan4,27081
